key,CHANGE_DATE,de,en,ru,tr,ar,fr,fa,nl,pl,it,es,sp - nicht berücksichtigen,pt,uk,ka (georgisch)
DIARY.MEASURE.MEASURE_6-KIND.OPTION.2.LABEL,,Wadenwickel,Leg compresses,обертывание икр,Baldır sargısı,التفاف ربلة الساق,Enveloppement de mollets, کمپرس ساق پا,Kuitwikkel,Owijka na łydkę,cuscino con i noccioli di cilieggia,Compresas en las piernas,Compresas en las piernas,Compressas nas pernas,Обгортання литок,ქვედა კიდურების საფენები
DIARY.MEASURE.MEASURE_6-KIND.OPTION.3.LABEL,,Stirnlappen,Cloths on the forehead,Компресс на лоб,Alın kompresi,الفص الجبهي,Application de chiffons humides sur le front ,پارچه بر روی پیشانی,Voorhoofdswikkel,Okłady na czoło,impacco sulla fronte,Paños en la frente,Paños en la frente,Compressas na testa,Компрес на лоб,საფენები (ნაჭრები) შუბლზე
DIARY.MEASURE.MEASURE_6-KIND.OPTION.10.LABEL,,Einlauf,Enema,Клизма,Lavman,حقنة شرجية,Lavement,تنقیه,Klysma,Enema,enteroclisma,Enema,Enema,Enema,Клізма,ენემა (ოყნა)
DIARY.MEASURE.MEASURE_6-KIND.OPTION.11.LABEL,,Zitronenwasserabreibungen,Lemon water rubs,Растирания с лимонной водой,Limonlu su ile ovma,وسائد الكرز الأساسية - يلتف العجل,Frictions à l'eau de citron,مالیدن با آبلیمو,Citroenwater-inwrijvingen,Nacierania wodą z dodatkiem cytryny,frizione con l'acqua al limone,Frotaciones con agua de limón,Frotes de agua de limón,Fricções com água de limão,Розтирання з лимонною водою,ლიმონიანი წყლით დაზელვა
DIARY.MEASURE.MEASURE_6-KIND.OPTION.4.LABEL,,Andere Maßnahme,Other measures,Другие меры,Diğer tedbirler,إجراء آخر,Autre mesure,اقدامات دیگر,Andere maatregel:,Inny środek,altra misura,Otras medidas,Otras medidas,Outras medidas,Інші заходи,სხვა ზომები
DIARY.MEASURE.MEASURE_6-KIND.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEASURE.MEASURE_6-OTHER.QUESTION,,Welche „andere“ Maßnahme haben Sie getroffen?,"What ""other"" action have you taken?","Какую „другую"" меру Вы предприняли?",Hangi „diğer“ tedbirleri aldınız?,"ما العمل ""الآخر"" كنت قد اتخذت؟","Quelle ""autre"" mesure avez-vous entreprise ?","چه اقدام ""دیگری"" انجام داده اید؟","Welke ""andere"" maatregel heeft u genomen?","Jakie ""inne"" środki zastosowałeś?","Quale ""altra misura"" ha preso?","¿Qué ""otra"" acción ha tomado?","¿Qué ""otra"" acción has tomado?",Que “outras” ações você tomou?,Якого „іншого” заходу Ви вжили?,"რა ""სხვა"" ზომები მიიღეთ?"
DIARY.MEASURE.MEASURE_6-OTHER.DISPLAY,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEASURE.MEASURE_6-OTHER.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEASURE.MEASURE_6-OTHER-DATE.QUESTION,,Wann haben Sie die „andere“ Maßnahme getroffen?,"When have you taken the ""other"" measure?","Когда Вы провели ""другие"" меры?",Ne zaman „diğer“ tedbirleri aldınız?,"عندما كنت قد قدمت هذا الاجراء ""الآخر""؟","Quand avez-vous entrepris une ""autre"" mesure?","چه زمانی اقدام ""دیگری"" انجام داده اید؟","Wanneer heeft u de ""andere"" maatregel genomen?","Kiedy dokonałeś ""innego"" pomiaru?","Quando ha preso ""l'altra misura""?","¿Cuándo ha tomado la ""otra"" medida?","¿Cuándo ha tomado la ""otra"" medida?","Quando você tomou a ""outra"" medida?",Коли Ви провели інші заходи?,"როდის მიიღეთ ""სხვა"" ზომები?"
DIARY.MEASURE.MEASURE_6-OTHER-DATE.DISPLAY,,Zeitpunkt: {{value}},Time: {{value}},Время: {{value}},Zaman: {{value}},الوقت ثمين: {{value}},Temps: {{value}},زمان: {{value}},Tijd: {{value}},Czas: {{value}},data: {{value}} ,Horário: {{value}},Horário: {{value}},Horário: {{value}},Час: {{value}},თარიღი:{{value}}
DIARY.MEASURE.MEASURE_6-OTHER-DATE.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEASURE.MEASURE_7.QUESTION,,Haben Sie eine weitere Maßnahme getroffen?,Have you taken another measure?,Провели ли Вы иные меры?,Başka tedbirler aldınız mı?,هل التقى إجراء آخر؟,Avez-vous pris d'autres mesures ?,آیا اقدامات دیگری انجام داده اید؟,Heeft u nog een andere maatregel ondernomen?,Czy zastosowałeś inną miarę?,Ha preso qualungque altra misura?,Ha tomado otra medida?,Has tomado otra medida?,Você tomou outra medida?,Чи провели Ви інші заходи?,მიიღეთ სხვა ზომები?
DIARY.MEASURE.MEASURE_7.OPTION.1.LABEL,,Ja,Yes,Да,Evet,نعم,Oui ,بله,Ja,Tak,sì,Sí,Sí,Sim,Так,კი
DIARY.MEASURE.MEASURE_7.OPTION.2.LABEL,,Nein,No,Нет,Hayır,لا,Non,خیر,Nee,Nie,no,No,No,Não,Ні, არა
DIARY.MEASURE.MEASURE_7-KIND.QUESTION,,Welche Maßnahme haben Sie getroffen?,Which measure have you taken?,Какие меры Вы провели?,Hangi tedbiri aldınız?,ما هي الإجراءات التي تعرفت؟,Quelles mesures avez-vous prises ? (n'en choisir qu'un seul au départ),چه اقدامی انجام داده اید؟,Welke maatregel heeft u genomen?,Jakie środki zastosowałeś?,Quale misura ha preso? (per primo sceglierne solo una),¿Qué medida ha tomado?,¿Qué medida has tomado?,Que medidas você tomou?,Які заходи Ви провели?,რა ზომები მიიღეთ?
DIARY.MEASURE.MEASURE_7-KIND.DISPLAY,,Maßnahme: {{value}},Measure: {{value}},Меры: {{value}},Tedbir: {{value}},العمل: {{value}},Mesures: {{value}},اقدام: {{value}},Maatregel: {{value}},Środek: {{value}},misura: {{value}},Medida: {{value}},Medida: {{value}},Medição: {{value}},Заходи: {{value}},ზომები:{{value}}
DIARY.MEASURE.MEASURE_7-KIND.OPTION.5.LABEL,,"Beruhigen, streicheln","Calm them, caress","Успокаивать, гладить","Sakinleştirmek, okşamak",طمأنة عناق,"Calmer, caresser",آرام کردن، نوازش کردن,"Kalmeren, strelen","Uspokajanie, głaskanie","calmare, acarezzare","Calmar, acariciar","Calmar, acariciar","Acalmar, acariciar","Заспокоювати, гладити","დამშვიდება, მოფერება"
DIARY.MEASURE.MEASURE_7-KIND.OPTION.6.LABEL,,"Vorlesen, erzählen, Singen","Reading, story telling, singing","Читать вслух, рассказывать, напевать","Kitap okumak, hikaye anlatmak, şarkı söylemek",قراءة، أقول، سينجين,"Lire une histoire à voix haute, raconter des histoires, chanter",خواندن، داستان گفتن، آواز خواندن,"Voorlezen, verhalen vertellen, zingen","Czytanie na głos, opowiadanie historii, śpiewanie","leggere ad alta voce, raccontare, cantare","Leer, contar cuentos, cantar","Leer, contar cuentos, cantar.","Ler, contar histórias, cantar.","Читати вголос, розповідати, співати","კითხვა, ამბების მოყოლა, სიმღერა"
DIARY.MEASURE.MEASURE_7-KIND.OPTION.7.LABEL,,Reizarme Umgebung,Low-stimulus environment,Убрать раздражители,Heyecansız ortam,عاجز,Placer l'enfant dans un environnement peu stimulant,کاهش محرک های محیط,Omgeving met weinig afleiding,Środowisko o niskim poziomie bodźców,atmosfera non irritabille,Entorno de bajo estímulo,reducir los estímulos circundantes,Ambiente de baixo estímulo,Прибрати подразники,გამაღიზიანებელი გარემოს მოშორება
DIARY.MEASURE.MEASURE_7-KIND.OPTION.8.LABEL,,"Tee mit Honig (Holunder, Linde, Kamille)","Tea with honey (elder, lime-tree, camomile)","Чай с медом (бузиной, липой, ромашкой)","Ballı çay (mürver, ıhlamur, papatya)",الشاي مع العسل (شيخ، والجير، البابونج),"Tisane avec du miel (sureau, tilleul, camomille)",چای با عسل ( آقطی، نمدار، بابونه),"Thee met honing (bijv. vlierbloessem, lindebloessem, kamille)","Herbata z miodem (z czarnego bzu, lipy, rumianku)","tè con miele (sambuco, tiglio, camomilla)","Té con miel (saúco, tilo, manzanilla)","Té con miel (saúco, tilo, manzanilla)","Chá com mel (por exemplo, sabugueiro, tília, camomila)","Чай з медом (бузиною, липою, ромашкою)","ჩაი თაფლით (ანწლის ნაყოფით, ცაცხვით, გვირილით)"
DIARY.MEASURE.MEASURE_7-KIND.OPTION.9.LABEL,,Suppe oder leichte Kost,Soup or light food,Суп или легкая пища,Çorba veya hafif yiyecek,حساء أو الوجبات الخفيفة,Soupe ou repas léger,سوپ یا غذای سبک,Soep of lichte kost,Zupa lub lekki posiłek,zuppa o cibo leggero,Sopa o comida ligera,Sopa o comida ligera,Sopa ou refeição leve,Суп чи легка їжа,წვნიანი ან მსუბუქი საკვები
DIARY.MEASURE.MEASURE_7-KIND.OPTION.1.LABEL,,"Wärmflasche, Kirschkernkissen","Hot-water bottle, Cherry stone cushions","Грелка, Подушка с вишневыми косточками","Sıcak su torbası, Kiraz çekirdeği yastığı",قارورة ماء ساخن، وسادة الكرز الأساسية,"Bouillotte, Coussin chauffant aux noyaux de cerises",کیسه ی آب گرم، کیسه ای از هسته های گیلاس,"Kruik, kersenpitten zakje","Butelka z gorącą wodą, poduszka z pestek wiśni",scaldalettto,"Bolsa de agua caliente, cojines de huesos de cereza","Bolsa de agua caliente,  almohadilla com semillas","Bolsa de água quente, almofadas de sementes","Грілка, подушка з вишневими кісточками","ცხელი წყლის ბოთლი, ალუბლის (ნაყოფის) კურკის ბალიში"
DIARY.MEASURE.MEASURE_7-KIND.OPTION.2.LABEL,,Wadenwickel,Leg compresses,обертывание икр,Baldır sargısı,التفاف ربلة الساق,Enveloppement de mollets, کمپرس ساق پا,Kuitwikkel,Owijka na łydkę,cuscino con i noccioli di cilieggia,Compresas en las piernas,Compresas en las piernas,Compressas nas pernas,Обгортання литок,ქვედა კიდურების კომპრესები
DIARY.MEASURE.MEASURE_7-KIND.OPTION.3.LABEL,,Stirnlappen,Cloths on the forehead,Компресс на лоб,Alın kompresi,الفص الجبهي,Application de chiffons humides sur le front ,پارچه بر روی پیشانی,Voorhoofdswikkel,Okłady na czoło,impacco sulla fronte,Paños en la frente,Paños en la frente,Compressas na testa,Компрес на лоб,კომპრესები (ნაჭრები) შუბლზე
DIARY.MEASURE.MEASURE_7-KIND.OPTION.10.LABEL,,Einlauf,Enema,Клизма,Lavman,حقنة شرجية,Lavement,تنقیه,Klysma,Enema,enteroclisma,Enema,Enema,Enema,Клізма,ენემა (ოყნა)
DIARY.MEASURE.MEASURE_7-KIND.OPTION.11.LABEL,,Zitronenwasserabreibungen,Lemon water rubs,Растирания с лимонной водой,Limonlu su ile ovma,فرك ماء الليمون,Frictions à l'eau de citron,مالیدن با آبلیمو,Citroenwater-inwrijvingen,Nacierania wodą z dodatkiem cytryny,frizione con l'acqua al limone,Frotaciones con agua de limón,Frotes de agua de limón,Fricções com água de limão,Розтирання з лимонною водою,ლიმონიანი წყლით დაზელვა
DIARY.MEASURE.MEASURE_7-KIND.OPTION.4.LABEL,,Andere Maßnahme,Other measures,Другие меры,Diğer tedbirler,إجراء آخر,Autre mesure,اقدامات دیگر,Andere maatregel:,Inny środek,altra misura,Otras medidas,Otras medidas,Outras medidas,Інші заходи,სხვა ზომები
DIARY.MEASURE.MEASURE_7-KIND.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}, {{value}}
DIARY.MEASURE.MEASURE_7-OTHER.QUESTION,,Welche „andere“ Maßnahme haben Sie getroffen?,"What ""other"" action have you taken?","Какую „другую"" меру Вы предприняли?",Hangi „diğer“ tedbirleri aldınız?,"ما العمل ""الآخر"" كنت قد اتخذت؟","Quelle ""autre"" mesure avez-vous entreprise ?","چه اقدام ""دیگری"" انجام داده اید؟","Welke ""andere"" maatregel heeft u genomen?","Jakie ""inne"" środki zastosowałeś?","Quale ""altra misura"" ha preso?","¿Qué ""otra"" acción ha tomado?","¿Qué ""otra"" acción has tomado?",Que “outras” ações você tomou?,Якого „іншого” заходу Ви вжили?,"რა ""სხვა"" ზომები მიიღეთ?"
DIARY.MEASURE.MEASURE_7-OTHER.DISPLAY,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEASURE.MEASURE_7-OTHER.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEASURE.MEASURE_7-OTHER-DATE.QUESTION,,Wann haben Sie die „andere“ Maßnahme getroffen?,"When have you taken the ""other"" measure?","Когда Вы провели ""другие"" меры?",Ne zaman „diğer“ tedbirleri aldınız?,"عندما كنت قد قدمت هذا الاجراء ""الآخر""؟","Quand avez-vous entrepris une ""autre"" mesure?","چه زمانی اقدام ""دیگری"" انجام داده اید؟","Wanneer heeft u de ""andere"" maatregel genomen?","Kiedy dokonałeś ""innego"" pomiaru?","Quando ha preso ""l'altra misura""?","¿Cuándo ha tomado la ""otra"" medida?","¿Cuándo ha tomado la ""otra"" medida?","Quando você tomou a ""outra"" medida?",Коли Ви провели інші заходи?,"როდის მიიღეთ ""სხვა"" ზომები?"
DIARY.MEASURE.MEASURE_7-OTHER-DATE.DISPLAY,,Zeitpunkt: {{value}},Time: {{value}},Время: {{value}},Zaman: {{value}},الوقت ثمين: {{value}},Temps: {{value}},زمان: {{value}},Tijd: {{value}},Czas: {{value}},data: {{value}} ,Horário: {{value}},Horário: {{value}},Horário: {{value}},Час: {{value}},თარიღი:{{value}}
DIARY.MEASURE.MEASURE_7-OTHER-DATE.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEASURE.MEASURE_8.QUESTION,,Haben Sie eine weitere Maßnahme getroffen?,Have you taken another measure?,Провели ли Вы иные меры?,Başka tedbirler aldınız mı?,هل التقى إجراء آخر؟,Avez-vous pris d'autres mesures ?,آیا اقدامات دیگری انجام داده اید؟,Heeft u nog een andere maatregel ondernomen?,Czy zastosowałeś inną miarę?,Ha preso qualungque altra misura?,¿Ha tomado alguna otra medida?,Has tomado otra medida?,Você tomou outra medida?,Чи провели Ви інші заходи?,მიიღეთ სხვა ზომები?
DIARY.MEASURE.MEASURE_8.OPTION.1.LABEL,,Ja,Yes,Да,Evet,نعم,Oui ,بله,Ja,Tak,sì,Sí,Sí,Sim,Так,დიახ
DIARY.MEASURE.MEASURE_8.OPTION.2.LABEL,,Nein,No,Нет,Hayır,لا,Non,خیر,Nee,Nie,no,No,No,Não,Ні,არა
DIARY.MEASURE.MEASURE_8-KIND.QUESTION,,Welche Maßnahme haben Sie getroffen?,Which measure have you taken?,Какие меры Вы провели?,Hangi tedbiri aldınız?,ما هي الإجراءات التي تعرفت؟,Quelles mesures avez-vous prises ? (n'en choisir qu'un seul au départ),چه اقدامی انجام داده اید؟,Welke maatregel heeft u genomen?,Jakie środki zastosowałeś?,Quale misura ha preso? (per primo sceglierne solo una),¿Qué medida ha tomado?,¿Qué medida has tomado?,Que medidas você tomou?,Які заходи Ви провели?,რა ზომები მიიღეთ?
DIARY.MEASURE.MEASURE_8-KIND.DISPLAY,,Maßnahme: {{value}},Measure: {{value}},Меры: {{value}},Tedbir: {{value}},العمل: {{value}},Mesures: {{value}},اقدام: {{value}},Maatregel: {{value}},Środek: {{value}},misura: {{value}},Medida: {{value}},Medida: {{value}},Medição: {{value}},Заходи: {{value}},ზომები:{{value}}
DIARY.MEASURE.MEASURE_8-KIND.OPTION.5.LABEL,,"Beruhigen, streicheln","Calm them, caress","Успокаивать, гладить","Sakinleştirmek, okşamak",طمأنة عناق,"Calmer, caresser",آرام کردن، نوازش کردن,"Kalmeren, strelen","Uspokajanie, głaskanie","calmare, acarezzare","Calmar, acariciar","Calmar, acariciar","Acalmar, acariciar","Заспокоювати, гладити","დამშვიდება, მოფერება"
DIARY.MEASURE.MEASURE_8-KIND.OPTION.6.LABEL,,"Vorlesen, erzählen, Singen","Reading, story telling, singing","Читать вслух, рассказывать, напевать","Kitap okumak, hikaye anlatmak, şarkı söylemek",قراءة، أقول، سينجين,"Lire une histoire à voix haute, raconter des histoires, chanter",خواندن، داستان گفتن، آواز خواندن,"Voorlezen, verhalen vertellen, zingen","Czytanie na głos, opowiadanie historii, śpiewanie","leggere ad alta voce, raccontare, cantare","Leer, contar cuentos, cantar","Leer, contar cuentos, cantar.","Ler, contar histórias, cantar.","Читати вголос, розповідати, співати","კითხვა, ამბების მოყოლა, სიმღერა"
DIARY.MEASURE.MEASURE_8-KIND.OPTION.7.LABEL,,Reizarme Umgebung,Low-stimulus environment,Убрать раздражители,Heyecansız ortam,عاجز,Placer l'enfant dans un environnement peu stimulant,کاهش محرک های محیط,Omgeving met weinig afleiding,Środowisko o niskim poziomie bodźców,atmosfera non irritabille,Ambiente de bajo estímulo,reducir los estímulos circundantes,Ambiente de baixo estímulo,Прибрати подразники,გამაღიზიანებელი გარემოს მოშორება
DIARY.MEASURE.MEASURE_8-KIND.OPTION.8.LABEL,,"Tee mit Honig (Holunder, Linde, Kamille)","Tea with honey (elder, lime-tree, camomile)","Чай с медом (бузиной, липой, ромашкой)","Ballı çay  (mürver, ıhlamur, papatya)",الشاي مع العسل (شيخ، والجير، البابونج),"Tisane avec du miel (sureau, tilleul, camomille)",چای با عسل ( آقطی، نمدار، بابونه),"Thee met honing (bijv. vlierbloessem, lindebloessem, kamille)","Herbata z miodem (z czarnego bzu, lipy, rumianku)","tè con miele (sambuco, tiglio, camomilla)","Té con miel (saúco, tila, manzanilla)","Té con miel (saúco, tilo, manzanilla)","Chá com mel (por exemplo, sabugueiro, tília, camomila)","Чай з медом (бузиною, липою, ромашкою)","ჩაი თაფლით (ანწლის ნაყოფით, ცაცხვით, გვირილით)"
DIARY.MEASURE.MEASURE_8-KIND.OPTION.9.LABEL,,Suppe oder leichte Kost,Soup or light food,Суп или легкая пища,Çorba veya hafif yiyecek,حساء أو الوجبات الخفيفة,Soupe ou repas léger,سوپ یا غذای سبک,Soep of lichte kost,Zupa lub lekki posiłek,zuppa o cibo leggero,Sopa o comida ligera,Sopa o comida ligera,Sopa ou refeição leve,Суп чи легка їжа,წვნიანი ან მსუბუქი საკვები
DIARY.MEASURE.MEASURE_8-KIND.OPTION.1.LABEL,,"Wärmflasche, Kirschkernkissen","Hot-water bottle, Cherry stone cushions","Грелка, Подушка с вишневыми косточками","Sıcak su torbası, Kiraz çekirdeği yastığı",قارورة ماء ساخن، وسادة الكرز الأساسية,"Bouillotte, Coussin chauffant aux noyaux de cerises",کیسه ی آب گرم، کیسه ای از هسته های گیلاس,"Kruik, kersenpitten zakje","Butelka z gorącą wodą, poduszka z pestek wiśni",scaldalettto,"Bolsa de agua caliente, cojines de huesos de cereza","Bolsa de agua caliente,  almohadilla com semillas","Bolsa de água quente, almofadas de sementes","Грілка, подушка з вишневими кісточками","ცხელი წყლის ბოთლი, ალუბლის (ნაყოფის) კურკის ბალიში"
DIARY.MEASURE.MEASURE_8-KIND.OPTION.2.LABEL,,Wadenwickel,Leg compresses,обертывание икр,Baldır sargısı,التفاف ربلة الساق,Enveloppement de mollets, کمپرس ساق پا,Kuitwikkel,Owijka na łydkę,cuscino con i noccioli di cilieggia,Compresas en las piernas,Compresas en las piernas,Compressas nas pernas,Обгортання литок,ქვედა კიდურების კომპრესები
DIARY.MEASURE.MEASURE_8-KIND.OPTION.3.LABEL,,Stirnlappen,Cloths on the forehead,Компресс на лоб,Alın kompresi,الفص الجبهي,Application de chiffons humides sur le front ,پارچه بر روی پیشانی,Voorhoofdswikkel,Okłady na czoło,impacco sulla fronte,Paños en la frente,Paños en la frente,Compressas na testa,Компрес на лоб,კომპრესები (ნაჭრები) შუბლზე
DIARY.MEASURE.MEASURE_8-KIND.OPTION.10.LABEL,,Einlauf,Enema,Клизма,Lavman,حقنة شرجية,Lavement,تنقیه,Klysma,Enema,enteroclisma,Enema,Enema,Enema,Клізма,ენემა (ოყნა)
DIARY.MEASURE.MEASURE_8-KIND.OPTION.11.LABEL,,Zitronenwasserabreibungen,Lemon water rubs,Растирания с лимонной водой,Limonlu su ile ovma,فرك ماء الليمون,Frictions à l'eau de citron,مالیدن با آبلیمو,Citroenwater-inwrijvingen,Nacierania wodą z dodatkiem cytryny,frizione con l'acqua al limone,Frotaciones con agua de limón,Frotes de agua de limón,Fricções com água de limão,Розтирання з лимонною водою,ლიმონიანი წყლით დაზელვა
DIARY.MEASURE.MEASURE_8-KIND.OPTION.4.LABEL,,Andere Maßnahme,Other measures,Другие меры,Diğer tedbirler,إجراء آخر,Autre mesure,اقدامات دیگر,Andere maatregel:,Inny środek,altra misura,Otras medidas,Otras medidas,Outras medidas,Інші заходи,სხვა ზომები
DIARY.MEASURE.MEASURE_8-KIND.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}, {{value}}
DIARY.MEASURE.MEASURE_8-OTHER.QUESTION,,Welche „andere“ Maßnahme haben Sie getroffen?,"What ""other"" action have you taken?","Какую „другую"" меру Вы предприняли?",Hangi „diğer“ tedbirleri aldınız?,"ما العمل ""الآخر"" كنت قد اتخذت؟","Quelle ""autre"" mesure avez-vous entreprise ?","چه اقدام ""دیگری"" انجام داده اید؟","Welke ""andere"" maatregel heeft u genomen?","Jakie ""inne"" środki zastosowałeś?","Quale ""altra misura"" ha preso?","¿Qué ""otra"" acción ha tomado?","¿Qué ""otra"" acción has tomado?",Que “outras” ações você tomou?,Якого „іншого” заходу Ви вжили?,"რა ""სხვა"" ზომები მიიღეთ?"
DIARY.MEASURE.MEASURE_8-OTHER.DISPLAY,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEASURE.MEASURE_8-OTHER.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.MEASURE.MEASURE_8-OTHER-DATE.QUESTION,,Wann haben Sie die „andere“ Maßnahme getroffen?,"When have you taken the ""other"" measure?","Когда Вы провели ""другие"" меры?",Ne zaman „diğer“ tedbirleri aldınız?,"عندما كنت قد قدمت هذا الاجراء ""الآخر""؟","Quand avez-vous entrepris une ""autre"" mesure?","چه زمانی اقدام ""دیگری"" انجام داده اید؟","Wanneer heeft u de ""andere"" maatregel genomen?","Kiedy dokonałeś ""innego"" pomiaru?","Quando ha preso ""l'altra misura""?","¿Cuándo ha tomado la ""otra"" medida?","¿Cuándo ha tomado la ""otra"" medida?","Quando você tomou a ""outra"" medida?",Коли Ви провели інші заходи?," როდის მიიღეთ ""სხვა"" ზომები?"
DIARY.MEASURE.MEASURE_8-OTHER-DATE.DISPLAY,,Zeitpunkt: {{value}},Time: {{value}},Время: {{value}},Zaman: {{value}},الوقت ثمين: {{value}},Temps: {{value}},زمان: {{value}},Tijd: {{value}},Czas: {{value}},data: {{value}} ,Horário: {{value}},Horário: {{value}},Horário: {{value}},Час: {{value}}, დრო: {{value}}
DIARY.MEASURE.MEASURE_8-OTHER-DATE.ANALYSIS.TEXT.0.TEXT,,{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}},{{value}}
DIARY.NOTE.TITLE,,Notiz,Note,Заметки,Not,ملاحظة,Note ,یادداشت,Opmerking,{{note}} {{value}},appunti,Nota,Nota,Observação,Нотатки,შენიშვნა
DIARY.NOTE.HISTORY.QUESTION,,"Wir freuen uns, wenn Sie uns den Ablauf der Erkrankung noch genauer beschreiben: Gab es vorher Anzeichen? Wann und wie hat die Erkrankung unabhängig vom Fieber begonnen und wie war der bisherige Verlauf?",We are glad if you even more exactly describe the process of the illness to us: Was there before sign? When and how the illness has begun independent of the fever and how was the present course?,"Мы будем рады, если Вы опишете нам ход заболевания еще более подробно: были ли какие-либо признаки раньше? Когда и как началось заболевание, независимо от повышенной температуры и каково было предыдущее течение?",Bize hastalığın seyrini daha ayrıntılı olarak anlatırsanız memnun oluruz: daha önceden herhangi bir belirti var mıydı? Hastalık ateşten bağımsız olarak ne zaman ve nasıl başladı ve bugüne kadar ki ilerleyişi nasıldı?,سنكون سعداء إذا كنت تصف تقدم المرض بمزيد من التفصيل: هل كانت هناك إشارات من قبل؟ متى وكيف بدأ المرض بشكل مستقل عن الحمى وكيف كانت الدورة السابقة؟,Nous serions heureux si vous nous décriviez plus en détail l'évolution de la maladie: Y a-t-il eu des signes antérieurs ? Quand et comment la maladie a-t-elle commencé indépendamment de la fièvre et quelle a été l'évolution jusqu'à présent ?,خوشحال خواهیم شد اگر روند بیماری را با جزئیات بیشتری برای ما شرح دهید: آیا قبلاً علائمی وجود داشت؟ فارغ از تب، بیماری از چه زمانی و چگونه آغاز شد و روند کنونی بیماری چگونه بود؟,Wij zouden het op prijs stellen als u ons het ziekteverloop nader zou willen omschrijven: Waren er vooraf tekenen? Wanneer en hoe begon de ziekte ongeacht de koorts en hoe was de ontwikkeling tot nu toe?,"Bylibyśmy wdzięczni, gdyby mógł Pan opisać przebieg choroby bardziej szczegółowo: Czy były jakieś znaki wcześniej? Kiedy i jak zaczęła się choroba niezależnie od gorączki i jaki był jej dotychczasowy przebieg?",Le saremmo grati se potesse descrivere il decorso della malattia in modo più dettagliato: C'erano dei segnali prima? Quando e come è iniziata la malattia indipendentemente dalla febbre e qual è stato il decorso finora?,Estaremos encantados de que nos describa con mayor exactitud el proceso de la enfermedad: ¿Hubo antes signo? ¿Cuándo y cómo ha comenzado la enfermedad independientemente de la fiebre y cómo ha sido el curso actual?,Nos alegramos si nos describe el proceso de la enfermedad aún más exactamente: ¿Hubo antes de la señal? ¿Cuándo y cómo comenzó la enfermedad independientemente de la fiebre y cómo fue el curso actual?,Ficaremos felizes se você descrever o processo da doença com ainda mais precisão: Já existia mal estar antes da febre? Quando e como a doença começou independentemente da febre e qual foi a evolução atual?,"Ми будемо раді, якщо Ви опишете нам перебіг захворювання ще докладніше: чи були якісь ознаки раніше? Коли і як почалося захворювання, незалежно від підвищеної температури, і який був попередній перебіг?","მადლობელი ვიქნებით, თუ უფრო ზუსტად აღგვიწერთ დაავადების პროცესს: იყო თუ არა დაავადების სიმპტომები მანამდე? როდის და როგორ დაიწყო ავადობა ცხელებისგან დამოუკიდებლად და როგორი იყო მიმდინარეობა?"
DIARY.NOTE.HISTORY.DISPLAY,,Historie: {{value}},History: {{value}},История: {{value}},Geçmiş: {{value}},التاريخ: {{value}},Histoire: {{value}},تاریخچه: {{value}},Geschiedenis: {{value}},Historia: {{value}},storia: {{value}},Historial: {{value}},Historial: {{value}},Histórico: {{value}},Історія: {{value}},ანამნეზი: {{value}}
